priority_score,article_id,account,published_at,title,current_type,classification_confidence,suggested_type,suggested_type_name,priority_reasons,matched_keywords,topic_tags,review_result,review_note,raw_path
105,1968,上海民盟,2020-04-17,猜一猜，哪些盟员企业家将现身这个论坛？,其他/待判,,person_profile,人物采访/人物风采,其他/待判中疑似人物文章；建议复核为:人物采访/人物风采；当前为其他/待判；置信度较低:0,,上海民盟,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2020-04-17_猜一猜，哪些盟员企业家将现身这个论坛？_0730f7a2862e.md
105,3028,中国民主同盟,2021-03-18,@全体民盟盟员，快跟上！接力为她送祝福,其他/待判,,person_profile,人物采访/人物风采,其他/待判中疑似人物文章；建议复核为:人物采访/人物风采；当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2021-03-18_@全体民盟盟员，快跟上！接力为她送祝福_5185707ffdab.md
85,1676,上海民盟,2023-10-10,民盟中央副主席徐辉出席“纪念钱伟长诞辰110周年活动”并在沪调研盟务工作,活动报道,95,history_commemoration,文史纪念,上海民盟近年样本优先；写作样本候选；建议复核为:文史纪念；文史/盟史候选；标题含文史纪念信号；活动报道中含交叉体裁信号,活动、举行、举办、开展、启动、调研,民盟史、上海民盟、参政议政、主题教育、组织建设、社会服务,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2023-10-10_民盟中央副主席徐辉出席“纪念钱伟长诞辰110周年活动”并在沪调研盟务工作_bfb3d85d4a27.md
85,764,上海民盟,2025-05-23,以学风强作风！民盟市委主题教育启动后的首个培训班举办,活动报道,95,theme_education,主题教育,上海民盟近年样本优先；写作样本候选；建议复核为:主题教育；文史/盟史候选；标题含主题教育信号；活动报道中含交叉体裁信号,活动、举行、举办、开展、启动、参观、培训班,民盟史、上海民盟、参政议政、主题教育、组织建设、宣传写作,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2025-05-23_以学风强作风！民盟市委主题教育启动后的首个培训班举办_d02e0385c1f0.md
85,1902,上海民盟,2025-12-24,沉痛悼念！著名海派电影导演沈耀庭逝世,其他/待判,,,,上海民盟近年样本优先；当前为其他/待判；置信度较低:0,,上海民盟,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2025-12-24_沉痛悼念！著名海派电影导演沈耀庭逝世_94fb6dea9787.md
70,2932,中国民主同盟,2015-07-15,《七子之歌》节选,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2015-07-15_《七子之歌》节选_fd0bde35ee6c.md
70,9243,群言杂志,2016-07-22,认识糖尿病,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2016-07-22_认识糖尿病_68096dc4352f.md
70,8860,群言杂志,2016-08-06,季羡林：我写我,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2016-08-06_季羡林：我写我_989303a0418a.md
70,8792,群言杂志,2016-11-02,固守尊严,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2016-11-02_固守尊严_1268aecfd014.md
70,9209,群言杂志,2016-12-30,老挂历的联想,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2016-12-30_老挂历的联想_c24b96fa4cf0.md
70,6008,中国民主同盟,2017-01-26,树高千尺不忘根，水流万里总思源——毛国典老师用“笔墨”回报父老乡亲,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-01-26_树高千尺不忘根，水流万里总思源——毛国典老师用“笔墨”回报父老乡亲_50b179988535.md
70,8758,群言杂志,2017-02-09,叶嘉莹：吟诵，让诗歌的生命延续,其他/待判,,,,当前为其他/待判；置信度较低:0,,上海民盟,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-02-09_叶嘉莹：吟诵，让诗歌的生命延续_f4129e13c230.md
70,8659,群言杂志,2017-03-11,俞敏洪、刘长铭“对话”乡村教育,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-03-11_俞敏洪、刘长铭“对话”乡村教育_dcab0a05df1e.md
70,3102,中国民主同盟,2017-04-11,《史良》连载32 | 维护妇女参政权，重庆妇女界宪政运动的主要领导人,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-11_《史良》连载32 _ 维护妇女参政权，重庆妇女界宪政运动的主要领导人_7089db8534e9.md
70,3103,中国民主同盟,2017-04-12,《史良》连载33 | 继续从事律师业务,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-12_《史良》连载33 _ 继续从事律师业务_4a2dc6b3db7b.md
70,3104,中国民主同盟,2017-04-17,《史良》连载34 | 共产党的真挚朋友,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-17_《史良》连载34 _ 共产党的真挚朋友_fc99de9ebea5.md
70,3105,中国民主同盟,2017-04-19,《史良》连载35｜在第二次宪政运动中,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-19_《史良》连载35｜在第二次宪政运动中_aecbea2bb1e4.md
70,9152,群言杂志,2017-04-19,移民问题与美国政治,其他/待判,,,,当前为其他/待判；置信度较低:0,,宣传写作,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-04-19_移民问题与美国政治_70439e838ad2.md
70,3106,中国民主同盟,2017-04-21,《史良》连载36 | 加入民盟,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-21_《史良》连载36 _ 加入民盟_e1291149fbdc.md
70,8511,群言杂志,2017-04-21,【福建专刊】写在古港帆影里的海外交通史,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-04-21_【福建专刊】写在古港帆影里的海外交通史_097474511ba9.md
70,3107,中国民主同盟,2017-04-25,《史良》连载（完结篇）| 参与发起成立中国妇女联谊会,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-25_《史良》连载（完结篇）_ 参与发起成立中国妇女联谊会_3b9bd8388848.md
70,8586,群言杂志,2017-05-03,中国要成为文化大国的基础是什么,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-05-03_中国要成为文化大国的基础是什么_766e6d349cb0.md
70,8452,群言杂志,2017-05-10,【新刊】非西方式文艺复兴与生态社会的来临,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-05-10_【新刊】非西方式文艺复兴与生态社会的来临_ca0387090803.md
