review_bucket,article_id,account,published_at,title,article_type_name,classification_confidence,matched_keywords,topic_tags,suggested_type,review_result,review_note,raw_path
按类型抽检:主题教育,3152,中国民主同盟,2019-09-20,“壮丽70年 奋进新时代——中国民主同盟庆祝中华人民共和国成立70周年美术作品展”在杭州开幕,主题教育,66,主题教育、政治共识,80周年、主题教育、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2019-09-20_“壮丽70年 奋进新时代——中国民主同盟庆祝中华人民共和国成立70周年美术作品展”在杭州开幕_a1e31f971d3d.md
按类型抽检:主题教育,3686,中国民主同盟,2022-06-28,丁仲礼在民盟中央机关作“矢志不渝跟党走、携手奋进新时代”政治交接主题教育宣讲报告,主题教育,74,主题教育,参政议政、主题教育、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2022-06-28_丁仲礼在民盟中央机关作“矢志不渝跟党走、携手奋进新时代”政治交接主题教育宣讲报告_50ebf064b780.md
按类型抽检:主题教育,3021,中国民主同盟,2023-01-28,《党的二十大报告学习辅导百问》有声书 | 4、为什么说党的十九大以来的五年是极不寻常、极不平凡的五年？,主题教育,58,学习贯彻中共,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-01-28_《党的二十大报告学习辅导百问》有声书 _ 4、为什么说党的十九大以来的五年是极不寻常、极不平凡的五年？_ee71072586d8.md
按类型抽检:主题教育,5930,中国民主同盟,2023-02-17,有声书 | 16、如何理解中国式现代化是人口规模巨大的现代化？,主题教育,58,学习贯彻中共,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-02-17_有声书 _ 16、如何理解中国式现代化是人口规模巨大的现代化？_c9db7e0a57fb.md
按类型抽检:主题教育,5941,中国民主同盟,2023-03-28,有声书 | 27.如何理解增强国内大循环内生动力和可靠性，提升国际循环质量和水平？,主题教育,58,学习贯彻中共,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-03-28_有声书 _ 27.如何理解增强国内大循环内生动力和可靠性，提升国际循环质量和水平？_cd38e62b98ff.md
按类型抽检:主题教育,5951,中国民主同盟,2023-04-12,有声书 | 37.为什么说全面建设社会主义现代化国家，最艰巨最繁重的任务仍然在农村？,主题教育,58,学习贯彻中共,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-04-12_有声书 _ 37.为什么说全面建设社会主义现代化国家，最艰巨最繁重的任务仍然在农村？_7cd9c1f54cd8.md
按类型抽检:主题教育,4741,中国民主同盟,2023-05-05,各民主党派、无党派人士和党外知识分子、新的社会阶层人士“凝心铸魂强根基、团结奋进新征程”主题教育动员会在京召开　石泰峰出席并讲话,主题教育,95,主题教育、凝心铸魂、学习贯彻习近平,主题教育,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-05-05_各民主党派、无党派人士和党外知识分子、新的社会阶层人士“凝心铸魂强根基、团结奋进新征程”主题教育动员会在京召开　石泰峰出_ccf7f0bf033e.md
按类型抽检:主题教育,1592,上海民盟,2023-05-15,民盟上海市委召开“凝心铸魂强根基、团结奋进新征程”主题教育动员会,主题教育,95,主题教育、凝心铸魂、政治共识、学习贯彻习近平,民盟史、上海民盟、参政议政、主题教育、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2023-05-15_民盟上海市委召开“凝心铸魂强根基、团结奋进新征程”主题教育动员会_6ee17202bb87.md
按类型抽检:主题教育,1648,上海民盟,2023-06-05,民盟上海市委开展“凝心铸魂强根基、团结奋进新征程”主题教育工作方案,主题教育,95,主题教育、凝心铸魂、学习贯彻习近平,民盟史、上海民盟、参政议政、主题教育、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2023-06-05_民盟上海市委开展“凝心铸魂强根基、团结奋进新征程”主题教育工作方案_9aeeea74fc13.md
按类型抽检:主题教育,4307,中国民主同盟,2023-06-26,共读经典 书香润盟 | 二十大报告辅导百问（62）怎样理解建设具有强大凝聚力和引领力的社会主义意识形态？,主题教育,58,学习贯彻中共,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-06-26_共读经典 书香润盟 _ 二十大报告辅导百问（62）怎样理解建设具有强大凝聚力和引领力的社会主义意识形态？_511b740d03a0.md
